Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Vinay Sakhuja,"MBBS, MD - Medicine, DM - Nephrology",,,Phase-VI,Mohali,₹1200,44,Nephrologist/Renal Specialist
Dr. Gaurav Saini,"MBBS, MS - Orthopaedics",,,Phase-VI,Mohali,₹1100,18,Orthopedic surgeon
Dr. Munish Chauhan,"MBBS, MD - General Medicine, DM - Nephrology",,,Phase-VI,Mohali,₹1200,21,Nephrologist/Renal Specialist
Dr. Jasmeet Singh,"MBBS, DNB - General Medicine",100%,(30 patients),Sector- 68,Mohali,₹500,22,"Internal Medicine, General Physician, Consultant Physician"
Dr. Shikha Verma,"DNB - Dermatology & Venereology, MD - Dermatology , Venereology & Leprosy, MBBS",99%,(515 patients),Sector- 69,Mohali,₹600,28,"Dermatologist, Venereologist, Aesthetic Dermatologist"
Dr. Ruchi Bansal,"MBBS, MS - Obstetrics & Gynaecology",,,Phase 10,Mohali,₹400,13,"Gynecologist, Obstetrician"
Dr. R S Rai,"MBBS, MS - General Surgery, MCh - Urology",96%,(106 patients),Phase-VI,Mohali,₹1000,38,"Sexologist, Urologist"
Dr. Anshu Syed,"MBBS, DNB - Obstetrics & Gynecology",98%,(54 patients),SAS Nagar,Mohali,₹500,18,"Gynecologist, Obstetrician"
Dr. Mukesh Vats,"MBBS, MS - Ophthalmology",,,Phase 8,Mohali,₹1100,25,Ophthalmologist/ Eye Surgeon
Dr. Pooja Modgil,BAMS,98%,(127 patients),Kharar,Mohali,₹500,24,AYUSHAyurveda
Dr. Akhil Gupta,"BDS, MDS - Conservative Dentistry & Endodontics",98%,(95 patients),Sector- 69,Mohali,₹300,13,"Endodontist, Cosmetic/Aesthetic Dentist"
Dr. Manisha.Malviya   (Physiotherapist),MPTh/MPT - Paediatric Physiotherapy,,,Sector-53,Mohali,₹500,t7,TherapistPediatric Physiotherapist
Dr. Saran Gill,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",99%,(76 patients),Phase 10,Mohali,₹300,16,"Orthodontist, Dentofacial Orthopedist, Cosmetic/Aesthetic Dentist"
Dr. Ravi Kant Behl,"MBBS, MD - Medicine",,,Phase-VI,Mohali,₹1300,38,General Physician
Dr. Saran Gill,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",99%,(76 patients),Phase 10,Mohali,₹300,16,"Orthodontist, Dentofacial Orthopedist, Cosmetic/Aesthetic Dentist"
Dr. Emmy Grewal,"DM - Endocrinology, MD - Medicine, MBBS",,,Phase-VI,Mohali,₹1100,25,Endocrinologist
Dr. Vikram Lahoria,"MD - Dermatology , Venereology & Leprosy, MBBS",,,Phase-VI,Mohali,₹600,12,"Dermatologist, Aesthetic Dermatologist, Cosmetologist"
Dr. Sachin Goyal,"BDS, MDS - Periodontics",100%,(209 patients),Sector 60,Mohali,₹300,19,"Periodontist, Cosmetic/Aesthetic Dentist, Implantologist, Dentist"
Dr. Navkaran Singh Sandhu,MBBS,,,Sohana,Mohali,₹1000,13,General Physician
Dr. Manmohan Singh Bedi,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",,,Phase-VI,Mohali,₹1200,30,"GastroIntestinal Surgeon, Bariatric Surgeon, Gastroenterologist"
Dr. Gaurav Malik,"BDS, MDS - Periodontology and Oral Implantology",99%,(221 patients),Phase-VI,Mohali,₹900,21,"Dentist, Periodontist, Implantologist, Cosmetic/Aesthetic Dentist"
Dr. Navkaran Singh Sandhu,MBBS,,,Sohana,Mohali,₹1000,13,General Physician
Dr. Aanchal Puri,"BDS, MDS - Oral Pathology and Oral Microbiology, Fellowship in Medical Cosmetology (FMC)",,,Rani Majra,Mohali,₹800,t9,TherapistCosmetologist
Dr. Simranjeet Kaur,MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy,100%,(12 patients),Phase 10,Mohali,₹450,11,TherapistPhysiotherapist
Dr. Ajaysingh Avtar Bhambri,"MBBS, DNB - Orthopedics/Orthopedic Surgery",,,Phase-VI,Mohali,₹900,28,Orthopedic surgeon
Dr. Shikha Verma,"DNB - Dermatology & Venereology, MD - Dermatology , Venereology & Leprosy, MBBS",99%,(515 patients),Sector- 69,Mohali,₹600,28,"Dermatologist, Venereologist, Aesthetic Dermatologist"
Dr. Gurbakhshish Singh Sidhu,"MBBS, DM - Gastroenterology",,,Phase-VI,Mohali,₹900,23,Gastroenterologist
Dr. Manish Singla,"MBBS, DM - Nephrology",,,Phase-VI,Mohali,₹1200,16,Nephrologist/Renal Specialist
Dr. Ravi Kant Behl,"MBBS, MD - Medicine",,,Phase-VI,Mohali,₹1300,38,General Physician
Dr. Sandeep Parekh,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",,,Phase-VI,Mohali,₹1200,16,"Cardiologist, General Physician"
Dr. Ankur Vats,"MDS - Conservative Dentistry & Endodontics, BDS",99%,(157 patients),Kharar,Mohali,₹500,17,"Endodontist, Implantologist, Dentist"
Dr. Sartaaj Singh Buttar,"MBBS, MS - ENT",94%,(77 patients),Phase-VI,Mohali,₹700,22,ENT/ Otorhinolaryngologist
Dr. Anupam Goel,MS - General Surgery,,,Phase-VI,Mohali,₹1000,t8,"Laparoscopic Surgeon, Bariatric Surgeon, General Surgeon, Proctologist"
Dr. Vijaya Gupta,"MBBS, MS - Obstetrics & Gynaecology",93%,(236 patients),Phase 10,Mohali,₹500,21,"Gynecologist, Obstetrician"
Dr. Deepak Puri,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",,,Phase-VI,Mohali,₹1300,36,Cardiac Surgeon
Dr. Sudha Gupta,"BDS, MDS - Prosthodontics",100%,(24 patients),Sector- 69,Mohali,₹300,11,"Cosmetic/Aesthetic Dentist, Implantologist, Dental Surgeon"
Dr. Manu Sharma,"MD - Pediatrics, MBBS",,,Phase-VI,Mohali,₹900,12,Pediatrician
Dr. Pankaj Kumar,"MBBS, MD - Radiotherapy",,,Phase-VI,Mohali,₹1100,23,Radiation Oncologist
Dr. Chandandeep Singh Sandhu,MBBS,95%,(97 patients),Sector-61,Mohali,₹1000,20,"General Physician, Sexologist"
Dr. Garima Goyal,"BDS, MDS - Orthodontics",99%,(93 patients),Sector 60,Mohali,₹300,19,"Orthodontist, Dentofacial Orthopedist, Dentist, Dental Surgeon"
Dr. Priyanka Goyal,"BDS, MDS - Paedodontics And Preventive Dentistry",,,Phase 10,Mohali,₹300,14,"Dentist, Pediatric Dentist"
Dr. Jasmeet Singh,"MBBS, DNB - General Medicine",100%,(30 patients),Sector- 68,Mohali,₹500,22,"Internal Medicine, General Physician, Consultant Physician"
Dr. Abhideep Chaudhary,"MBBS, MS - General Surgery",,,Phase-VI,Mohali,₹1300,23,General Surgeon
Dr. Kanwar Sidharth,"BDS, MDS - Conservative Dentistry & Endodontics",94%,(87 patients),Phase 10,Mohali,₹300,18,"Endodontist, Dental Surgeon, Dentist"
Dr. Sajal Kakkar,"MBBS, MD - Radiotherapy",,,Phase-VI,Mohali,₹1100,20,Radiation Oncologist
Dr. Ashish Gupta,"MBBS, MS - General Surgery, MCh - Neuro Surgery",,,Phase-VI,Mohali,₹900,26,Neurosurgeon
Dr. Anjali Shrivastava Vats,"MDS - Conservative Dentistry & Endodontics, BDS",,,Kharar,Mohali,₹500,17,"Endodontist, Implantologist"
Dr. Harbans Bansal,"MBBS, MS - General Surgery, MCh - Urology",,,Phase 10,Mohali,₹500,13,Urologist
Dr. Karan Dhawan,"MBBS, M.D. (Psychiatry)",100%,(12 patients),Sector- 73,Mohali,₹1000,10,Psychiatrist
Dr. Kamna Nagpal,"MBBS, DGO, MD - Obstetrics & Gynaecology",96%,(26 patients),Phase-VI,Mohali,₹900,29,"Obstetrician, Gynecologist"
Dr. Rashmi Pandove,"MBBS, MD - Pediatrics",,,Phase-VI,Mohali,₹1100,19,Pediatrician
Dr. Sandeep Parekh,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",,,Phase-VI,Mohali,₹1200,16,"Cardiologist, General Physician"
Dr. Garima Goyal,"BDS, MDS - Orthodontics",99%,(93 patients),Sector 60,Mohali,₹300,19,"Orthodontist, Dentofacial Orthopedist, Dentist, Dental Surgeon"
Dr. Narendar Mohan Gupta,"MBBS, MS - General Surgery",,,Phase-VI,Mohali,₹1200,60,General Surgeon
Dr. Deepak Bhasin,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",,,Phase-VI,Mohali,₹1300,28,Tuberculous and chest Diseases Specialist
Dr. Chandandeep Singh Sandhu,MBBS,95%,(97 patients),Sector-61,Mohali,₹1000,20,"General Physician, Sexologist"
Dr. Nikhil Anil Nadkarni,"MBBS, MD - Medicine, DM - Gastroenterology",,,Phase-VI,Mohali,₹1300,25,Gastroenterologist
Dr. Sunil Gupta,"MBBS, M.D. (Psychiatry)",,,Sector 55,Mohali,₹1200,17,"Psychiatrist, Addiction Psychiatrist, Psychotherapist"
Dr. Sanjay Kumar Mishra,"MBBS, MD - Medicine, DM - Neurology",,,Phase-VI,Mohali,₹1300,26,Neurologist
Dr. Bhupinder Pal,"BDS, MDS - Prosthodontist And Crown Bridge",100%,(27 patients),Phase 10,Mohali,₹300,14,"Dental Surgeon, Implantologist, Prosthodontist"
Dr. Atul Sachdev,"MBBS, MD - Medicine, DM - Gastroenterology",,,Phase-VI,Mohali,₹1300,38,Gastroenterologist
Dr. Rishi Dhawan,"MBBS, MS - General Surgery, MCh - Plastic Surgery",97%,(37 patients),Phase-VI,Mohali,₹1000,16,"Plastic Surgeon, Cosmetologist"
Dr. Arpinder Singh Gill,"MBBS, MD - Pediatrics",,,Phase-VI,Mohali,₹1300,31,Pediatrician
Dr. Sannidhya Varma,"M.D. (Psychiatry), MBBS",97%,(418 patients),Phase-VI,Mohali,₹1200,18,"Psychiatrist, Addiction Psychiatrist"
Dr. Jagdish Sethi,"MBBS, MS - General Surgery",,,Phase-VI,Mohali,₹1100,18,General Surgeon
Dr. Savita,"MD - Pediatrics, MBBS",,,Sector - 70,Mohali,₹500,13,Pediatrician
Dr. Abhay Kalra,"MBBS, MS - General Surgery, MCh - Urology",,,Phase-VI,Mohali,₹900,18,"Urologist, Andrologist"
Dr. Sachin Goyal,"BDS, MDS - Periodontics",100%,(209 patients),Sector 60,Mohali,₹300,19,"Periodontist, Cosmetic/Aesthetic Dentist, Implantologist, Dentist"
Dr. Jibin Babu,"M.D. (Psychiatry), MBBS",,,Kharar,Mohali,₹400,11,Psychiatrist
Dr. Harpreet Kaur Sidhu,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, FNB - Reproductive Medicine, MRCOG(UK)",90%,(31 patients),Phase-VI,Mohali,₹700,19,"Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Gynecologist"
Dr. Surya Kant Mathur,"MBBS, MD - Pediatrics, DM - Endocrinology",,,Phase-VI,Mohali,₹1200,42,Endocrinologist
Dr. Saurabh Kapoor,"MBBS, DNB - Paediatrics",,,Phase-VI,Mohali,₹900,n9,Pediatrician
Dr. Akanksha Sharda,"MDS - Prosthodontist And Crown Bridge, BDS",99%,(67 patients),Phase 10,Mohali,₹300,13,"Implantologist, Prosthodontist, Dentist"
Dr. Amandeep Singh Sandhu,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",97%,(30 patients),Phase-VI,Mohali,₹1000,16,"Laparoscopic Surgeon, GastroIntestinal Surgeon"
Dr. Arjun Dass,"MBBS, DNB - Otorhinolaryngology, MS - ENT",,,Phase-VI,Mohali,₹1300,42,ENT/ Otorhinolaryngologist
Dr. Vijay Pal Singh,"MBBS, DNB - Urology/Genito - Urinary Surgery, MS - General Surgery",,,Kharar,Mohali,₹500,12,Urologist
Dr. Ankur Vats,"MDS - Conservative Dentistry & Endodontics, BDS",99%,(157 patients),Kharar,Mohali,₹500,17,"Endodontist, Implantologist, Dentist"
Dr. Timsi Gupta,"MDS - Conservative Dentistry & Endodontics, BDS",100%,(46 patients),Phase 10,Mohali,₹300,11,"Endodontist, Dentist"
Dr. Komal Dhiman,BAMS,,,Sector- 85,Mohali,₹500,a4,AYUSHAyurveda
